time,temp_lid,temp_well,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
13:40:07,98.8,70.17,68,58,65,65,75,69,56,57,65,56,52,63,62,61,52,61
13:40:37,98.3,66.46,71,61,69,69,79,72,60,63,68,60,54,67,65,64,55,66
13:41:08,98.2,66.26,72,62,70,74,82,76,62,64,69,61,57,71,69,68,57,68
13:41:38,99.4,66.06,72,62,68,69,78,72,59,61,69,60,55,68,65,64,54,66
13:42:09,99.3,66.36,69,60,68,68,78,72,60,59,67,58,53,66,66,63,54,64
13:42:37,99.4,66.46,73,62,68,68,77,72,59,59,68,60,56,66,66,64,53,66
13:43:08,99.2,66.36,76,61,68,69,78,72,60,60,68,60,56,66,64,64,53,66
13:43:38,99.4,66.36,71,61,68,70,79,72,59,60,70,61,55,65,63,63,53,65
13:44:09,99.5,66.36,70,61,67,69,78,72,59,60,67,60,54,66,64,63,53,66
13:44:37,99.4,66.36,68,59,68,68,77,72,60,59,67,60,53,66,63,64,52,65
13:45:08,99.2,66.36,69,60,68,68,77,72,59,58,66,59,54,66,63,63,53,64
13:45:38,99.5,66.36,69,63,68,68,77,72,59,59,68,60,54,65,63,64,53,65
13:46:09,99.4,66.46,71,63,68,68,77,73,59,60,69,60,56,66,64,64,53,65
13:46:37,99.6,66.36,68,61,68,67,78,72,58,61,67,58,54,67,64,64,54,65
13:47:08,99.5,66.56,67,58,66,68,77,71,57,57,65,56,52,65,64,62,52,63
13:47:38,99.3,66.36,71,61,68,69,77,74,59,60,69,59,54,65,64,64,53,66
13:48:09,99.3,66.46,73,62,68,69,78,74,59,60,69,59,54,65,64,63,55,66
13:48:37,99.7,66.36,71,62,70,71,81,75,61,62,70,60,55,68,66,66,56,66
13:49:08,99.4,66.46,73,62,68,68,78,72,59,60,72,60,53,67,63,63,52,65
13:49:38,99.5,66.46,69,61,69,69,80,74,60,59,67,60,55,69,65,65,54,65
13:50:09,99.4,66.46,68,60,67,68,78,72,60,58,67,59,53,66,64,64,52,64
13:50:37,99.5,66.46,71,62,68,68,77,72,61,60,69,60,53,65,63,63,53,66
13:51:08,99.4,66.46,70,61,68,68,78,72,61,59,69,58,54,67,63,63,52,65
13:51:38,99.4,66.56,68,61,68,69,81,74,60,61,70,58,55,67,65,66,54,66
13:52:09,99.6,66.56,69,61,67,68,77,72,58,59,68,58,53,65,63,63,52,65
13:52:37,99.4,66.56,72,62,70,71,81,75,61,61,69,60,56,69,66,67,54,68
13:53:07,99.5,66.46,69,60,66,67,78,71,58,58,68,58,53,65,63,65,52,65
13:53:38,9.3,6.466,69,60,67,67,77,72,59,59,67,58,53,64,62,63,52,65
13:54:08,99.8,66.46,69,60,67,67,78,72,60,59,67,58,54,65,63,62,52,65
13:54:39,99.7,66.46,71,64,67,67,79,72,60,62,68,58,53,65,63,62,53,66
13:55:07,99.3,66.36,71,64,68,68,77,72,60,60,69,59,54,65,62,63,52,67
13:55:38,99.4,66.46,69,60,67,67,78,72,59,60,68,58,53,66,63,62,52,66
13:56:08,99.5,66.46,68,60,67,67,77,72,58,58,67,57,53,66,63,63,52,65
13:56:39,99.5,66.36,69,62,67,67,77,72,58,60,68,57,53,65,62,63,52,65
13:57:07,99.7,66.36,72,64,67,67,77,73,59,62,69,59,53,66,63,65,52,67
13:57:38,99.5,66.36,72,65,69,70,80,75,63,64,70,60,56,69,65,67,56,68
13:58:08,99.5,66.46,68,59,66,66,75,70,59,60,66,56,52,64,62,62,52,64
13:58:39,99.4,66.46,69,61,67,67,77,72,60,59,68,58,53,66,63,63,52,65
13:59:07,99.6,66.56,73,63,69,71,80,75,62,61,71,60,56,68,65,66,54,68
13:59:38,99.4,66.36,70,62,68,68,77,71,60,58,68,57,53,65,63,63,52,66
14:00:08,99.6,66.46,70,62,68,68,79,72,60,59,67,58,53,65,62,63,52,65
14:00:39,99.6,66.36,72,65,71,70,79,75,62,61,69,59,55,68,65,66,54,67
14:01:07,99.5,66.36,71,66,70,69,77,72,60,59,70,58,53,65,63,62,52,65
14:01:38,99.4,66.46,72,68,73,67,77,72,59,60,69,58,53,65,62,62,52,65
14:02:08,99.5,66.36,74,71,76,68,77,72,59,61,68,57,53,65,63,62,52,66
14:02:39,99.6,66.46,77,77,81,69,78,72,59,59,67,57,53,65,62,62,51,66
14:03:07,99.4,66.46,78,84,86,68,78,71,57,57,66,57,52,64,62,62,50,64
14:03:37,99.5,66.46,89,98,101,71,80,73,59,60,69,58,53,66,62,63,51,66
14:04:08,99.5,66.46,97,111,114,73,83,74,60,60,69,59,54,66,62,62,51,66
14:04:38,99.4,66.46,103,122,126,77,88,76,60,60,67,57,54,66,63,64,52,65
14:05:09,99.7,66.36,118,137,143,86,98,81,62,61,69,59,55,69,66,65,54,67
14:05:37,99.6,66.46,129,145,152,92,106,83,62,61,69,60,55,68,66,65,55,67
14:06:08,99.6,66.46,143,154,163,101,116,86,62,60,70,59,54,66,64,63,53,66
14:06:38,99.5,66.46,148,158,167,115,133,95,65,60,69,60,55,68,67,65,55,66
14:07:09,99.6,66.36,158,164,175,127,144,103,66,60,69,59,54,66,66,63,53,66
14:07:37,99.6,66.46,164,168,179,139,154,114,71,60,68,59,55,66,69,63,53,65
14:08:08,99.7,66.46,167,170,179,152,165,129,79,63,69,60,56,69,75,65,54,66
14:08:38,99.5,66.46,177,177,187,161,172,140,87,64,71,60,55,67,77,63,52,66
14:09:09,99.5,66.36,174,174,184,165,174,149,96,65,69,58,55,66,84,63,52,65
