time,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
16:06:49,18,8,3,7,15,4,5,12,12,9,6,44,41,6,6,7
16:07:19,19,8,2,7,15,4,5,12,13,9,6,47,45,6,6,8
16:07:50,18,8,2,7,15,4,5,12,13,8,6,58,54,5,6,7
16:08:18,19,8,3,7,15,4,5,12,13,9,6,63,59,6,6,8
16:08:49,18,8,2,6,15,4,5,11,13,8,6,64,60,6,5,8
16:09:19,19,8,3,7,15,4,5,12,13,9,6,56,53,6,5,8
16:09:50,19,8,2,7,15,3,5,12,13,8,6,56,52,6,5,8
16:10:18,19,8,2,7,15,4,5,12,13,8,6,55,53,6,5,8
16:10:49,18,8,2,7,15,4,5,12,14,8,6,55,52,5,5,8
16:11:19,18,8,3,7,15,4,5,12,13,8,6,55,52,6,5,7
16:11:50,19,8,3,6,14,4,5,12,13,8,6,55,52,6,5,7
16:12:18,19,8,3,7,15,4,5,12,13,8,5,55,52,6,5,7
16:12:49,19,8,3,7,15,3,4,12,13,8,6,55,51,5,5,7
16:13:19,18,8,2,7,15,3,4,12,13,8,6,55,52,6,5,7
16:13:50,19,8,3,7,15,3,5,12,13,9,6,55,52,6,6,8
16:14:18,18,8,2,7,15,4,5,12,13,8,6,55,52,6,5,7
16:14:49,19,9,2,7,15,4,5,12,13,8,6,55,52,6,6,7
16:15:19,18,8,2,7,15,4,5,12,13,8,6,56,52,6,6,8
16:15:50,18,8,3,7,15,4,5,12,13,8,6,55,52,6,5,7
16:16:18,18,8,2,7,15,4,5,12,13,8,6,55,52,5,5,7
16:16:49,19,8,3,7,15,4,5,12,13,8,5,56,52,6,5,8
16:17:19,18,8,3,7,15,4,4,12,13,8,6,55,52,6,5,7
16:17:50,18,8,3,7,15,3,5,12,13,8,6,55,52,6,6,7
16:18:18,18,8,3,7,15,4,5,12,13,8,6,56,52,6,5,7
16:18:49,19,8,2,7,15,4,5,12,13,8,5,55,52,6,5,7
16:19:19,19,8,2,7,15,4,5,13,14,8,6,55,52,6,5,8
16:19:50,15,5,1,4,12,2,3,9,9,5,3,53,51,4,3,5
16:20:18,14,5,1,5,12,2,3,9,9,5,3,53,50,3,3,5
16:20:49,18,8,3,7,15,4,5,12,14,8,6,55,52,6,5,7
16:21:19,18,8,2,7,15,3,5,12,13,8,6,55,52,6,6,7
16:21:50,19,8,3,7,15,4,5,12,13,8,6,56,52,6,6,8
16:22:18,18,8,2,7,15,3,5,12,13,8,5,56,52,6,6,7
16:22:49,19,8,3,7,15,4,5,12,13,8,6,55,52,6,5,7
16:23:19,19,8,2,7,15,4,5,12,13,8,6,55,52,6,5,7
16:23:50,19,8,3,7,15,4,5,12,14,8,6,56,52,6,6,8
16:24:18,18,8,2,7,15,3,5,11,13,8,6,55,52,6,6,8
16:24:49,18,8,2,7,15,4,5,12,13,8,6,55,52,6,5,8
16:25:19,19,8,3,7,15,4,5,12,13,8,6,55,52,6,6,7
16:25:50,19,8,3,7,15,4,5,12,13,8,6,55,52,6,5,7
16:26:18,19,8,3,7,15,4,5,12,13,8,6,56,53,6,6,8
