time,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
15:19:56,25,13,76,47,50,3,6,15,17,12,7,15,22,8,6,8
15:20:26,27,13,78,50,52,2,6,15,17,12,6,15,22,8,6,8
15:20:57,25,12,77,52,55,3,6,15,16,11,6,15,22,8,6,8
15:21:25,28,14,78,55,57,3,6,15,19,16,8,15,23,8,6,8
15:21:56,29,14,79,57,59,3,6,15,19,17,8,16,23,8,6,9
15:22:26,27,14,77,53,55,3,6,14,17,13,7,15,23,8,6,8
15:22:57,27,14,78,54,55,2,6,15,17,13,7,15,22,8,6,8
15:23:25,26,13,78,54,55,3,5,14,17,13,7,15,23,8,6,8
15:23:56,27,14,79,53,56,3,6,15,18,13,7,15,23,8,6,8
15:24:27,26,14,79,53,56,3,6,15,17,13,7,15,23,8,7,8
15:24:55,27,14,79,53,55,3,6,15,18,13,7,15,22,8,6,8
15:25:26,27,14,79,54,56,3,6,15,18,13,7,15,23,8,6,8
15:25:56,27,14,79,53,55,3,6,15,17,13,7,15,23,8,6,8
15:26:27,26,14,78,54,55,3,5,15,17,13,7,15,23,8,6,8
15:26:55,27,14,79,53,55,3,5,15,18,13,7,15,22,8,6,9
15:27:26,27,14,79,54,55,2,6,15,18,14,7,15,23,8,6,8
15:27:56,27,14,78,54,55,3,6,14,18,13,7,15,22,8,6,8
15:28:27,26,14,79,55,54,2,6,14,17,13,7,15,23,8,6,8
15:28:55,26,14,79,55,55,3,6,14,17,13,7,15,23,8,6,8
15:29:26,27,14,79,56,54,2,6,15,18,14,8,15,23,8,6,8
15:29:56,26,14,78,57,54,2,6,15,17,12,7,15,22,8,6,8
15:30:27,28,14,79,59,55,2,6,15,18,12,7,15,22,8,6,8
15:30:55,27,13,79,61,55,3,6,15,17,13,7,15,22,8,6,8
15:31:26,27,14,79,66,55,2,6,15,18,12,7,15,22,8,6,8
15:31:56,26,13,78,69,55,2,6,14,17,12,7,15,22,8,6,8
15:32:27,28,14,79,76,55,2,6,15,18,13,7,15,22,8,7,8
15:32:55,27,13,78,84,54,3,6,14,17,13,7,15,22,8,6,8
15:33:26,26,14,78,95,54,3,6,15,17,13,7,15,22,8,6,8
15:33:56,26,13,78,106,54,3,6,15,17,12,7,15,22,8,6,8
15:34:27,26,13,78,119,54,2,6,15,17,12,7,15,23,8,6,8
15:34:55,26,13,79,130,55,2,6,15,17,12,7,16,23,8,6,8
15:35:26,27,14,79,143,55,3,6,15,19,15,7,16,23,8,6,8
15:35:56,27,13,79,151,55,3,6,15,18,12,7,15,23,8,6,8
15:36:27,27,14,78,158,54,3,6,15,18,14,7,16,23,8,6,8
15:36:55,26,13,78,164,54,2,6,15,17,12,7,15,22,8,6,8
15:37:26,27,13,79,169,56,3,6,15,18,13,7,15,22,8,6,8
15:37:56,27,13,79,173,55,3,6,15,17,13,7,15,23,8,6,8
15:38:27,28,14,80,177,55,3,6,15,18,14,7,16,23,8,6,8
15:38:55,26,14,79,179,54,2,6,14,18,14,7,16,22,8,6,8
15:39:26,26,13,78,182,55,3,6,15,17,12,7,16,23,8,6,8
