time,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
17:23:39,29,15,5,46,52,8,11,23,23,12,7,14,17,7,12,18
17:24:09,29,15,5,48,54,7,12,23,23,12,7,14,17,7,12,18
17:24:40,29,15,5,50,57,7,12,23,23,12,7,14,17,7,12,18
17:25:08,29,16,5,52,59,8,12,24,23,12,7,14,17,7,12,18
17:25:39,29,16,5,54,61,8,12,24,23,12,7,15,17,7,12,18
17:26:09,29,15,5,51,57,7,11,24,23,12,7,15,17,7,12,18
17:26:40,26,13,4,49,56,6,9,20,20,9,4,11,13,4,9,15
17:27:08,30,16,5,51,57,7,12,24,24,12,7,14,17,7,12,18
17:27:39,30,16,5,51,57,8,12,24,24,13,7,14,17,7,12,18
17:28:09,30,15,5,51,57,7,11,24,24,13,7,14,17,7,12,18
17:28:40,29,15,5,51,56,8,11,23,23,12,7,14,17,7,12,18
17:29:08,30,16,5,52,57,7,11,24,24,12,7,15,17,7,12,18
17:29:39,29,15,5,51,57,7,11,23,23,12,7,14,17,6,12,18
17:30:09,29,16,5,51,57,7,11,23,23,12,7,14,17,7,12,18
17:30:40,30,16,5,52,57,7,12,24,24,12,7,15,17,7,12,18
17:31:08,30,16,5,52,57,7,11,24,24,12,7,14,17,6,12,18
17:31:39,30,16,5,52,57,8,12,24,24,12,7,14,17,7,12,18
17:32:09,29,16,5,52,56,7,11,24,23,12,7,14,17,7,12,18
17:32:40,29,15,5,53,57,7,12,23,23,12,7,14,17,6,12,18
17:33:08,30,16,5,54,56,7,12,24,24,12,7,14,17,7,12,18
17:33:39,31,16,5,55,57,7,12,24,25,13,7,15,17,7,12,18
17:34:09,29,15,5,57,56,7,12,24,23,12,7,14,17,7,12,18
17:34:40,31,16,5,60,57,7,12,25,25,13,7,14,17,7,12,18
17:35:08,29,16,5,62,56,8,12,24,24,13,7,14,17,7,12,18
17:35:39,29,16,5,67,56,7,11,23,24,13,7,14,17,7,12,18
17:36:09,30,16,5,73,56,8,12,24,24,12,7,15,17,7,12,18
17:36:40,31,16,5,82,57,7,12,24,25,13,7,15,17,7,12,18
17:37:08,30,16,5,91,56,7,11,24,24,13,7,15,17,7,12,18
17:37:39,29,15,5,102,56,7,12,24,24,12,7,15,17,7,12,18
17:38:09,31,16,5,115,56,7,12,24,25,13,7,15,17,7,12,18
17:38:40,30,16,5,126,56,7,11,24,24,13,8,15,17,7,12,18
17:39:08,30,16,5,136,56,7,11,24,24,13,7,15,17,7,12,18
17:39:39,30,16,5,146,57,7,12,24,24,13,7,15,17,7,12,18
17:40:09,29,15,5,154,57,7,12,24,23,12,7,15,17,7,12,18
17:40:40,30,15,5,160,57,7,12,24,24,12,7,15,17,7,12,18
17:41:08,29,16,6,165,57,7,12,24,23,12,7,15,17,7,12,18
17:41:39,30,15,5,168,57,7,11,24,23,12,7,15,17,7,12,18
17:42:09,29,15,5,172,56,7,12,24,23,12,7,15,17,7,12,18
17:42:40,30,16,5,175,57,7,12,24,24,12,7,15,17,7,12,18
17:43:08,31,16,5,178,57,7,12,24,25,13,7,15,17,7,12,18
