time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8
12:36:03,29,15,5,45,47,7,12,23,23,12,7,15,17,7,12,18,
12:36:34,30,15,5,46,48,7,12,24,24,12,7,15,17,7,12,18,
12:37:04,29,15,5,47,49,7,12,24,23,12,7,15,17,7,12,18,
12:37:35,29,15,5,48,50,7,12,24,23,12,7,15,18,7,12,18,
12:38:03,30,16,5,49,51,7,12,24,24,12,7,15,17,7,12,18,
12:38:34,30,15,5,47,49,7,12,24,24,12,7,15,17,7,12,18,
12:39:04,30,16,5,48,50,7,11,24,24,12,7,15,17,7,12,18,
12:39:35,29,15,5,47,49,7,11,24,23,12,7,15,17,7,12,18,
12:40:03,29,15,5,47,49,7,12,24,23,12,7,15,17,7,12,18,
12:40:34,29,16,5,47,49,7,12,24,23,12,7,15,17,7,12,18,
12:41:04,29,15,5,48,49,7,11,23,23,12,7,15,17,7,12,18,
12:41:35,29,15,5,47,49,7,12,24,23,12,7,15,17,6,12,18,
12:42:03,29,15,5,48,49,7,11,24,23,12,7,15,17,7,12,18,
12:42:33,29,15,5,48,49,7,11,24,23,12,7,15,17,7,12,18,
12:43:04,29,15,5,48,48,7,12,24,23,12,7,15,17,7,12,18,
12:43:34,29,15,5,48,49,7,12,23,23,12,7,15,17,7,12,18,
12:44:05,29,15,5,48,49,7,12,23,23,12,7,15,17,7,12,18,
12:44:33,29,15,5,49,49,7,12,24,23,12,7,15,17,7,12,18,
12:45:04,29,15,5,49,48,7,11,24,23,12,7,15,17,7,12,18,
12:45:34,30,16,5,50,49,7,12,24,24,12,7,15,17,7,12,18,
12:46:05,29,15,5,51,48,7,11,24,23,12,7,15,17,7,12,18,
12:46:33,29,15,5,51,49,7,12,24,24,12,7,15,17,7,12,18,
12:47:04,29,16,5,53,49,7,12,24,23,12,7,15,17,7,12,18,
12:47:34,29,16,5,55,49,7,12,24,23,12,7,15,17,7,12,18,
12:48:05,29,15,5,57,49,7,11,24,23,12,7,15,17,7,12,18,
12:48:33,30,16,5,61,49,7,12,24,24,12,7,15,17,7,12,18,
12:49:04,30,16,5,65,49,7,12,24,24,12,7,15,17,7,12,18,
12:49:34,30,16,5,71,49,7,11,24,24,12,7,15,17,7,12,18,
12:50:05,29,15,5,78,48,7,11,24,23,12,7,15,17,7,12,18,
12:50:33,29,15,5,85,49,7,11,24,24,12,7,15,17,7,12,18,
12:51:04,30,16,5,95,49,7,12,24,24,12,7,15,17,7,12,18,
12:51:34,30,15,5,104,49,7,12,24,23,12,7,15,17,7,12,18,
12:52:05,30,16,5,115,49,7,12,24,24,12,7,15,17,7,12,18,
12:52:33,31,16,5,123,49,7,11,24,24,12,7,15,17,7,12,18,
12:53:04,29,15,5,131,48,7,11,23,23,12,7,15,17,7,12,18,
12:53:34,30,16,5,139,49,7,12,25,24,13,7,15,17,7,12,18,
12:54:05,29,15,5,144,49,7,11,24,23,12,7,15,17,7,12,18,
12:54:33,30,16,5,150,49,7,12,24,24,12,7,15,17,7,12,18,
12:55:03,30,16,5,154,49,7,12,24,24,12,7,16,17,7,12,18,
12:55:34,29,15,5,157,49,7,12,24,23,12,7,15,17,7,12,18,
