time,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
16:42:10,30,16,5,47,54,7,12,24,23,13,7,15,17,7,12,19
16:42:41,29,15,5,47,55,7,12,24,23,12,7,15,17,7,12,18
16:43:09,29,15,5,46,54,7,12,24,23,12,7,15,17,7,12,18
16:43:40,30,16,5,46,54,8,12,24,24,13,7,15,17,7,12,18
16:44:10,30,15,5,46,53,7,12,24,23,12,7,15,17,7,12,18
16:44:41,30,16,5,47,53,8,12,25,24,12,7,15,17,7,12,19
16:45:09,30,15,5,47,53,7,12,25,24,13,7,15,17,7,12,19
16:45:40,30,16,5,47,53,8,12,25,24,13,7,15,18,7,12,19
16:46:10,29,15,5,46,52,7,12,24,23,12,7,15,17,7,12,18
16:46:41,29,15,5,46,53,7,12,24,24,12,7,15,17,7,12,18
16:47:09,29,15,5,47,53,7,12,24,23,13,7,15,17,7,12,18
16:47:40,29,15,5,46,53,7,11,24,23,12,7,15,17,7,12,18
16:48:10,29,15,5,46,53,7,12,24,23,12,7,15,17,7,12,18
16:48:41,30,15,5,47,53,7,12,24,24,13,7,15,17,7,12,19
16:49:09,29,15,5,47,53,7,12,24,23,12,7,14,17,7,12,18
16:49:40,29,15,5,47,53,7,12,24,24,13,7,15,17,7,12,18
16:50:10,29,15,5,47,53,7,12,24,23,13,7,15,17,7,12,18
16:50:41,30,16,5,48,53,7,12,24,24,12,7,15,17,7,12,19
16:51:09,29,15,5,49,53,7,12,24,23,12,7,15,17,7,12,18
16:51:39,31,15,5,50,53,7,12,25,24,13,7,15,17,7,12,19
16:52:10,31,15,5,51,53,7,12,24,24,13,7,15,17,7,12,19
16:52:40,30,15,5,53,53,7,12,25,24,13,7,15,17,7,12,18
16:53:11,30,15,5,55,53,7,12,25,24,13,7,15,17,7,12,19
16:53:39,30,16,5,57,53,7,12,24,24,13,7,15,17,7,12,19
16:54:10,29,15,5,60,52,7,12,24,24,12,7,15,17,7,12,18
16:54:40,30,16,5,65,53,7,11,24,24,13,7,15,17,7,12,19
16:55:11,30,15,5,71,53,7,12,24,24,13,7,15,17,7,12,19
16:55:39,30,16,5,77,53,7,12,25,24,13,7,15,17,7,12,19
16:56:10,29,15,5,84,53,7,12,24,23,13,7,15,17,7,12,18
16:56:40,29,15,5,94,53,7,12,24,24,12,7,15,17,7,12,18
16:57:11,31,16,5,104,54,7,12,25,25,13,7,15,17,7,12,18
16:57:39,29,15,5,112,53,7,12,24,23,12,7,15,17,7,12,18
16:58:10,29,15,5,121,53,7,11,24,23,13,7,15,18,7,12,18
16:58:40,30,15,5,129,53,7,12,24,23,12,7,15,17,7,12,18
16:59:11,30,15,5,136,53,7,12,24,23,12,7,15,17,7,12,18
16:59:39,30,15,5,142,53,7,12,24,24,13,7,15,18,7,12,18
17:00:10,30,16,5,147,53,7,12,24,24,13,7,15,17,7,12,19
17:00:40,29,15,5,151,53,7,12,24,23,13,7,15,18,7,12,18
17:01:11,29,15,5,155,53,7,11,24,23,12,7,15,17,7,12,18
17:01:39,30,15,5,159,54,7,12,25,25,13,7,15,17,7,12,19
