time,14:11:07,14:11:37,14:12:06,14:12:36,14:13:06,14:13:37,14:14:05,14:14:36,14:15:06,14:15:37,14:16:05,14:16:36,14:17:06,14:17:37,14:18:05,14:18:36,14:19:06,14:19:37,14:20:05,14:20:36,14:21:06,14:21:37,14:22:05,14:22:36,14:23:06,14:23:36,14:24:07,14:24:35,14:25:06,14:25:36,14:26:07,14:26:35,14:27:06,14:27:36,14:28:07,14:28:35,14:29:06,14:29:36,14:30:07,14:30:35,14:31:06,14:31:36,14:32:07,14:32:35,14:33:06,14:33:36,14:34:07,14:34:37,14:35:05,14:35:36,14:36:06,14:36:37,14:37:05,14:37:36,14:38:06,14:38:37,14:39:05,14:39:36,14:40:06,14:40:37,14:41:05,14:41:36,14:42:06,14:42:37,14:43:05,14:43:36,14:44:06,14:44:37,14:45:07,14:45:35,14:46:06,14:46:36,14:47:07,14:47:35,14:48:06,14:48:36,14:49:07,14:49:35,14:50:06,14:50:36,14:51:07,14:51:35,14:52:06,14:52:36,14:53:07,14:53:35,14:54:06,14:54:36,14:55:07,14:55:35
well1,71,74,72,72,73,72,72,72,73,72,75,75,74,75,75,73,72,75,75,74,74,76,73,75,75,75,75,73,71,74,74,73,73,76,75,74,76,75,75,75,74,76,74,76,74,74,74,74,76,77,76,77,77,78,78,79,80,81,84,89,97,104,114,125,135,149,159,162,170,176,177,180,183,185,189,189,188,193,195,196,199,199,203,195,204,198,201,200,206,200
well2,59,61,59,60,61,60,60,61,61,58,62,63,61,62,62,62,61,62,63,62,62,63,62,63,63,63,63,61,60,61,62,62,62,64,62,62,64,62,63,62,62,63,63,63,62,62,61,62,63,64,63,64,64,63,64,64,66,65,68,70,75,80,87,97,108,123,132,140,150,157,160,165,168,172,176,177,176,181,183,185,188,188,191,186,193,188,190,191,196,190
well3,65,69,66,67,67,68,68,68,67,66,69,69,68,68,69,69,68,69,69,69,69,69,69,70,70,69,70,67,67,69,70,69,69,71,69,69,69,69,69,70,69,69,70,69,70,69,69,70,70,72,73,75,80,84,91,102,115,125,138,149,159,165,171,176,175,182,187,188,191,193,194,195,197,199,200,201,195,203,204,204,205,206,208,200,208,201,202,202,209,202
well4,58,63,60,60,60,61,61,60,60,59,61,61,61,61,61,63,61,62,61,61,62,61,61,61,61,61,61,60,60,61,63,61,63,63,61,63,61,61,61,61,61,62,63,61,63,60,61,62,61,62,61,61,63,62,61,61,64,62,64,63,65,65,67,71,76,85,91,101,112,123,133,142,150,156,161,165,168,171,174,176,178,179,181,180,184,183,184,185,189,187
well5,76,81,79,78,78,78,79,78,79,78,80,80,79,79,80,82,79,79,80,79,80,80,79,79,79,80,79,79,78,79,82,80,82,83,79,82,80,80,80,80,79,79,83,80,82,80,79,80,80,80,79,80,83,80,81,81,84,80,84,83,85,87,92,97,106,119,127,139,150,160,167,173,178,181,185,187,188,192,193,196,197,199,199,198,202,199,200,201,205,202
well6,70,75,73,73,72,72,73,73,73,72,74,73,74,74,74,76,74,74,74,74,74,75,74,74,75,75,75,74,73,75,77,74,76,77,75,77,75,75,74,75,75,74,77,75,77,75,75,75,75,75,75,75,78,76,76,76,79,77,81,81,84,90,96,105,115,130,139,149,158,164,170,174,178,181,184,186,185,190,191,193,195,196,197,195,200,196,197,197,203,199
well7,55,59,56,57,57,57,57,57,57,56,58,59,58,59,59,60,58,59,59,59,59,59,59,59,60,59,59,58,57,59,61,59,61,61,59,61,60,60,59,59,60,60,61,60,61,59,59,59,60,60,60,60,62,59,60,60,62,59,60,60,61,60,59,59,60,62,61,59,60,61,61,60,60,60,60,61,62,60,61,61,61,61,61,62,60,62,63,63,61,62
well8,53,57,56,56,56,55,56,56,56,54,57,57,56,57,57,57,57,58,57,56,57,57,57,58,58,58,58,57,56,58,58,58,58,60,58,58,58,58,58,59,58,59,59,59,59,58,58,58,59,60,59,60,60,60,59,59,61,58,59,59,59,59,59,59,58,61,60,59,60,60,59,59,58,59,60,59,60,60,59,59,60,60,60,60,58,60,61,60,60,60
well9,66,69,68,67,69,69,68,70,69,69,72,72,71,72,72,71,70,73,73,70,72,74,71,74,73,73,73,71,69,72,72,72,72,74,74,72,75,72,73,74,72,74,73,74,73,72,72,73,74,75,75,75,75,74,75,75,75,73,73,73,75,74,74,75,74,77,78,76,77,80,78,80,82,86,92,98,108,117,127,139,152,160,172,172,182,181,186,187,195,191
well10,56,59,57,58,58,58,57,58,58,56,59,59,59,59,60,59,59,59,60,59,59,61,59,60,60,60,59,58,58,59,60,59,60,61,60,60,60,60,60,61,59,61,60,60,60,59,59,60,61,61,61,61,61,61,60,60,61,59,60,60,60,60,60,59,60,63,61,60,61,62,60,61,61,61,62,61,62,61,62,62,62,62,63,63,62,64,65,64,64,64
