time,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16,shutter_speed,ISO
14:11:07,71,59,65,58,76,70,55,53,66,56,51,62,55,51,48,59,499907,200
14:11:37,74,61,69,63,81,75,59,57,69,59,56,68,59,56,52,63,499907,200
14:12:06,72,59,66,60,79,73,56,56,68,57,54,65,56,53,50,61,499907,200
14:12:36,72,60,67,60,78,73,57,56,67,58,54,65,55,53,50,62,499907,200
14:13:06,73,61,67,60,78,72,57,56,69,58,54,65,56,53,50,63,499907,200
14:13:37,72,60,68,61,78,72,57,55,69,58,54,65,55,53,50,62,499907,200
14:14:05,72,60,68,61,79,73,57,56,68,57,54,64,56,54,51,62,499907,200
14:14:36,72,61,68,60,78,73,57,56,70,58,54,65,56,53,51,62,499907,200
14:15:06,73,61,67,60,79,73,57,56,69,58,54,64,55,53,50,63,499907,200
14:15:37,72,58,66,59,78,72,56,54,69,56,52,63,53,51,49,62,499907,200
14:16:05,75,62,69,61,80,74,58,57,72,59,55,65,55,54,51,64,499907,200
14:16:36,75,63,69,61,80,73,59,57,72,59,55,65,55,53,51,64,499907,200
14:17:06,74,61,68,61,79,74,58,56,71,59,54,64,55,54,51,64,499907,200
14:17:37,75,62,68,61,79,74,59,57,72,59,55,65,55,54,51,64,499907,200
14:18:05,75,62,69,61,80,74,59,57,72,60,55,64,56,54,51,64,499907,200
14:18:36,73,62,69,63,82,76,60,57,71,59,56,66,58,56,53,65,499907,200
14:19:06,72,61,68,61,79,74,58,57,70,59,55,64,56,54,51,64,499907,200
14:19:37,75,62,69,62,79,74,59,58,73,59,54,65,55,54,51,65,499907,200
14:20:05,75,63,69,61,80,74,59,57,73,60,55,65,55,54,51,65,499907,200
14:20:36,74,62,69,61,79,74,59,56,70,59,55,65,55,54,51,64,499907,200
14:21:06,74,62,69,62,80,74,59,57,72,59,55,65,55,54,51,65,499907,200
14:21:37,76,63,69,61,80,75,59,57,74,61,55,65,56,54,52,66,499907,200
14:22:05,73,62,69,61,79,74,59,57,71,59,55,64,55,54,51,64,499907,200
14:22:36,75,63,70,61,79,74,59,58,74,60,56,65,55,54,51,65,499907,200
14:23:06,75,63,70,61,79,75,60,58,73,60,55,64,56,54,51,65,499907,200
14:23:36,75,63,69,61,80,75,59,58,73,60,55,65,56,54,52,65,499907,200
14:24:07,75,63,70,61,79,75,59,58,73,59,56,65,55,54,51,66,499907,200
14:24:35,73,61,67,60,79,74,58,57,71,58,54,64,55,54,50,63,499907,200
14:25:06,71,60,67,60,78,73,57,56,69,58,54,64,55,54,51,63,499907,200
14:25:36,74,61,69,61,79,75,59,58,72,59,55,65,55,54,51,65,499907,200
14:26:07,74,62,70,63,82,77,61,58,72,60,56,67,59,56,53,66,499907,200
14:26:35,73,62,69,61,80,74,59,58,72,59,55,65,56,54,51,65,499907,200
14:27:06,73,62,69,63,82,76,61,58,72,60,57,67,58,56,53,65,499907,200
14:27:36,76,64,71,63,83,77,61,60,74,61,57,68,59,56,54,67,499907,200
14:28:07,75,62,69,61,79,75,59,58,74,60,56,65,55,54,52,65,499907,200
14:28:35,74,62,69,63,82,77,61,58,72,60,57,68,58,56,53,66,499907,200
14:29:06,76,64,69,61,80,75,60,58,75,60,56,65,55,54,51,67,499907,200
14:29:36,75,62,69,61,80,75,60,58,72,60,56,65,56,54,52,66,499907,200
14:30:07,75,63,69,61,80,74,59,58,73,60,55,65,56,54,52,65,499907,200
14:30:35,75,62,70,61,80,75,59,59,74,61,55,64,56,54,52,66,499907,200
14:31:06,74,62,69,61,79,75,60,58,72,59,55,65,56,54,51,65,499907,200
14:31:36,76,63,69,62,79,74,60,59,74,61,55,65,55,54,52,66,499907,200
