,,,6000cp,6000cp,6000cp,600cp,600cp,600cp,60cp,60cp,60cp,6cp,6cp,6cp,60cp,H2O,H2O,H2O
time,temp_lid,temp_well,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
09:58:20,98.7,69.46,68,57,66,66,75,68,56,57,64,55,52,63,60,60,50,59
09:58:48,98.5,65.86,73,60,70,68,79,73,57,61,68,58,55,68,63,65,54,62
09:59:19,98.3,66.26,73,60,68,70,78,71,58,60,68,58,54,66,64,63,52,63
09:59:49,99.4,65.96,73,61,68,69,78,71,58,61,69,59,54,65,62,63,52,65
10:00:20,99.3,66.46,72,60,69,68,77,71,61,62,68,58,53,67,61,62,52,63
10:00:48,99.2,66.46,72,61,69,68,79,72,58,60,68,58,55,64,61,63,52,63
10:01:18,99.2,66.46,70,59,68,68,79,72,59,59,66,56,53,64,60,63,51,62
10:01:49,99.5,66.46,70,60,69,69,80,73,59,60,66,58,54,67,63,65,53,63
10:02:19,99.4,66.46,70,59,67,68,77,73,57,61,66,57,53,65,61,62,51,63
10:02:50,99.3,66.46,72,60,68,69,79,74,58,60,68,58,54,64,61,63,52,63
10:03:18,99.5,66.46,71,61,68,69,78,72,58,60,68,58,54,66,60,63,53,64
10:03:49,99.4,66.36,73,60,70,68,79,73,58,60,68,58,54,64,61,63,53,64
10:04:19,99.4,66.56,69,58,66,67,79,72,57,58,65,56,53,64,61,64,52,62
10:04:50,99.5,66.46,71,60,69,68,77,71,58,59,67,57,53,64,60,63,51,63
10:05:18,99.5,66.46,73,61,69,68,77,71,58,60,69,58,54,64,61,63,51,64
10:05:49,99.4,66.46,73,61,70,69,77,72,58,60,68,57,53,64,62,63,52,66
10:06:19,99.5,66.36,70,59,68,68,77,72,57,59,67,57,54,63,61,63,53,65
10:06:50,99.5,66.56,73,61,68,68,77,72,58,60,69,58,53,64,61,63,51,66
10:07:18,99.5,66.56,71,59,67,69,76,71,57,60,67,57,54,63,61,62,51,65
10:07:48,99.6,66.46,73,61,69,69,79,73,59,60,68,57,56,65,63,65,53,66
10:08:19,99.5,66.36,73,61,69,68,77,72,58,60,69,58,54,64,61,63,51,65
10:08:49,99.4,66.36,73,61,68,67,77,72,58,60,69,58,55,63,60,63,51,65
10:09:20,99.3,66.46,72,60,68,70,76,71,58,59,68,57,54,64,61,62,50,64
10:09:48,99.5,66.36,73,61,68,70,76,72,58,60,69,58,53,64,61,63,51,64
10:10:19,99.4,66.46,74,62,70,71,80,75,60,62,70,59,56,66,63,67,53,66
10:10:49,99.4,66.46,73,61,68,68,77,72,59,60,69,58,53,64,60,64,51,65
10:11:20,99.5,66.46,72,59,67,67,76,71,58,60,67,57,54,63,60,63,50,64
10:11:48,99.4,66.36,73,61,70,70,80,74,61,62,69,59,55,68,63,66,53,66
10:12:19,99.7,66.46,74,61,69,67,77,71,59,60,69,58,53,64,60,63,52,65
10:12:49,99.5,66.56,72,60,68,67,78,71,58,60,67,57,53,63,60,64,52,64
10:13:20,99.4,66.46,73,61,68,67,77,72,59,60,69,58,53,64,60,64,50,65
10:13:48,99.5,66.46,73,61,68,67,77,71,58,61,69,58,55,63,60,64,51,65
10:14:19,99.4,66.46,71,60,67,68,77,71,58,60,67,59,54,64,60,63,52,64
10:14:49,99.4,66.36,74,62,68,68,77,71,59,61,69,59,54,64,61,63,52,67
10:15:20,99.3,66.46,72,60,67,68,78,71,59,59,67,58,53,63,60,63,51,64
10:15:48,99.6,66.46,72,60,67,67,77,71,58,60,68,57,53,63,60,63,51,64
10:16:19,99.6,66.46,73,61,68,69,78,72,61,60,68,57,54,64,61,64,52,65
10:16:49,9.6,6.566,72,60,68,67,76,71,58,63,68,56,53,63,61,63,51,64
10:17:19,99.8,66.46,74,61,68,68,77,72,59,61,70,58,54,63,59,63,51,66
10:17:50,99.6,66.56,74,62,70,68,77,71,59,61,69,58,53,63,60,64,51,65
10:18:18,99.6,66.46,75,62,71,68,76,73,59,62,70,58,54,63,60,63,51,65
10:18:49,99.6,66.36,74,63,70,68,76,72,58,61,69,57,53,64,62,63,51,64
10:19:19,99.7,66.36,76,65,71,68,77,73,59,61,69,58,54,65,62,63,52,65
10:19:50,99.5,66.46,76,68,73,67,78,73,59,62,69,57,54,63,60,63,51,66
10:20:18,99.6,66.36,75,71,75,67,77,73,58,62,68,57,54,64,60,63,51,64
10:20:49,99.6,66.36,77,78,80,71,79,74,59,62,68,58,55,65,62,66,53,65
10:21:19,99.5,66.36,81,88,89,71,79,75,60,62,70,59,55,66,63,66,53,67
10:21:50,99.6,66.56,85,100,98,71,80,75,60,61,68,58,55,66,63,66,53,66
10:22:18,99.5,66.56,91,113,110,72,81,76,60,62,70,59,56,66,63,66,53,66
10:22:49,99.3,66.46,96,122,121,71,78,74,59,60,67,57,53,65,60,63,51,64
10:23:19,99.4,66.46,109,137,136,73,80,75,58,61,70,58,54,65,60,63,51,65
10:23:50,99.5,66.56,117,144,148,76,80,77,57,60,67,57,53,63,60,63,50,64
10:24:18,99.5,66.46,128,152,157,80,84,80,58,60,67,57,54,63,60,63,50,64
10:24:49,99.4,66.46,140,158,165,86,87,86,58,60,68,58,54,64,60,63,51,64
10:25:19,99.5,66.46,150,165,172,95,93,94,58,60,68,58,54,64,60,63,51,65
10:25:50,99.6,66.46,157,168,175,110,104,109,60,63,70,59,56,67,64,66,53,66
10:26:18,99.4,66.46,166,174,181,119,109,118,59,63,70,59,55,64,61,63,51,65
10:26:49,99.4,66.46,166,171,179,133,123,131,59,64,68,58,56,66,64,66,52,65
10:27:19,99.5,66.46,176,179,187,144,134,143,59,67,70,58,55,65,62,63,51,65
10:27:49,99.6,66.46,177,179,185,152,145,152,60,70,70,59,56,65,64,64,51,66
10:28:18,99.5,66.46,180,182,191,161,156,161,59,75,69,58,54,64,65,64,51,64
10:28:48,99.5,66.46,184,184,193,168,164,167,60,82,70,59,55,64,69,64,51,65
10:29:19,99.5,66.36,185,185,194,173,171,173,60,92,70,59,55,65,73,64,51,64
10:29:49,99.6,66.36,187,188,196,178,177,178,61,105,70,58,55,65,81,64,51,65
10:30:20,99.4,66.36,190,190,199,181,181,181,63,117,72,59,56,65,89,64,51,65
10:30:48,99.6,66.46,191,191,199,184,185,184,65,128,73,59,55,65,101,64,52,64
10:31:19,99.7,66.46,192,192,201,187,187,186,68,139,74,59,55,65,114,64,52,65
10:31:49,99.7,66.56,191,190,197,186,188,186,74,148,76,60,57,68,131,67,53,65
10:32:20,99.6,66.56,195,194,203,190,191,189,79,155,80,60,56,65,139,65,52,65
10:32:48,99.7,66.56,195,192,199,189,192,189,90,160,87,62,58,68,152,68,53,67
10:33:19,99.5,66.56,194,192,199,190,193,190,100,163,93,61,57,68,160,67,53,66
10:33:49,99.5,66.56,199,197,206,195,198,196,110,169,101,60,55,66,163,65,52,65
10:34:20,99.4,66.46,201,198,207,197,200,197,122,172,113,61,56,66,169,66,52,65
10:34:48,99.6,66.46,197,195,201,194,197,194,134,173,125,62,58,69,175,68,54,66
10:35:19,99.4,66.46,202,199,209,200,203,201,142,178,139,62,56,67,178,66,53,65
10:35:49,99.6,66.46,203,199,209,200,203,201,150,180,151,62,57,67,180,66,53,65
10:36:20,99.5,66.36,199,195,201,197,200,197,156,180,159,63,58,69,183,69,54,67
10:36:48,99.4,66.46,202,198,206,199,201,199,159,182,166,61,56,67,182,66,52,65
10:37:18,99.6,66.46,206,202,211,203,205,203,166,187,176,62,56,67,186,66,53,66
10:37:49,99.6,66.46,200,196,203,199,203,199,167,185,176,63,58,70,189,68,54,66
10:38:19,99.5,66.36,201,197,203,200,203,200,170,186,180,63,58,69,190,69,55,66
10:38:50,99.5,66.36,201,197,203,200,204,200,173,187,184,63,58,70,192,69,54,66
10:39:18,99.6,66.36,202,198,204,201,204,201,175,188,187,63,58,70,193,69,55,66
10:39:49,99.5,66.46,203,199,205,202,205,202,176,190,190,64,58,70,194,70,55,67
10:40:19,99.7,66.46,205,200,206,202,206,202,179,191,193,64,59,70,195,70,55,67
10:40:50,99.6,66.46,204,199,206,202,206,202,180,191,193,64,58,70,196,69,55,66
10:41:18,99.7,66.46,205,200,205,202,206,202,180,192,197,64,58,69,196,68,54,67
10:41:49,99.7,66.46,204,199,205,203,207,203,182,192,197,64,58,70,198,70,55,67
10:42:19,99.4,66.46,204,199,206,203,207,203,183,193,199,64,59,70,198,69,55,66
10:42:50,99.5,66.56,210,205,214,209,212,209,188,199,204,64,57,67,200,66,53,65
