time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8
14:15:22,27,13,5,45,49,3,6,15,17,12,6,16,20,7,6,9
14:15:50,26,13,5,49,52,3,6,15,16,11,6,16,20,7,7,8
14:16:21,26,13,5,51,54,3,6,15,17,12,6,16,20,7,6,9
14:16:51,26,13,5,52,56,2,6,15,16,11,7,16,20,7,6,9
14:17:22,27,13,5,54,57,2,6,15,17,11,6,16,20,7,6,9
14:17:50,26,13,5,51,54,2,6,15,17,11,6,16,20,7,6,9
14:18:21,26,13,5,51,54,2,6,15,16,11,6,16,20,7,6,8
14:18:51,26,13,5,51,54,2,6,15,17,11,6,16,20,7,6,8
14:19:22,27,13,5,51,55,2,6,15,17,11,6,15,20,7,6,9
14:19:50,25,13,5,51,54,2,6,15,16,11,6,16,20,7,6,8
14:20:21,26,13,5,51,54,2,6,15,17,11,6,16,20,7,6,8
14:20:51,26,13,5,51,54,2,6,15,17,11,6,16,20,7,6,8
14:21:22,27,13,5,51,54,2,6,15,17,11,6,16,20,7,6,8
14:21:50,27,13,5,51,54,2,6,15,17,11,6,16,20,7,6,8
14:22:21,27,13,5,51,54,2,6,15,17,11,6,16,20,7,6,8
14:22:51,26,13,5,50,53,2,6,15,16,11,6,16,20,7,6,8
14:23:22,27,13,5,50,54,2,6,16,17,11,6,16,20,7,6,8
14:23:50,27,13,5,51,54,2,6,15,18,11,6,16,20,7,6,9
14:24:21,26,13,5,51,54,2,6,15,17,11,7,16,20,7,6,8
14:24:51,27,13,5,51,53,2,6,15,17,11,6,16,20,7,6,8
14:25:22,26,13,5,51,54,2,6,15,16,11,6,16,20,7,6,8
14:25:50,26,12,5,52,54,2,6,15,17,11,6,16,20,7,6,8
14:26:21,27,13,5,53,54,2,6,16,17,12,6,16,20,7,6,8
14:26:51,26,13,5,53,53,2,6,15,17,11,6,16,20,7,6,8
14:27:22,26,12,5,54,54,2,6,15,16,11,6,15,20,7,6,8
14:27:50,27,13,5,57,53,2,6,15,17,11,6,16,20,7,6,9
14:28:21,27,13,5,60,53,2,6,15,18,11,6,16,20,7,6,9
14:28:51,27,13,5,64,54,2,6,15,17,11,6,15,20,7,6,9
14:29:22,26,12,5,68,53,2,6,15,16,11,6,16,20,7,6,8
14:29:50,26,12,5,75,54,2,6,15,17,11,6,15,20,7,6,8
14:30:21,26,13,5,83,53,2,6,15,17,11,6,16,20,7,6,8
14:30:51,26,13,5,91,53,2,6,14,17,11,6,16,20,7,6,8
14:31:22,26,13,5,102,53,2,6,15,17,11,7,16,20,7,6,8
14:31:50,26,13,5,111,53,2,5,15,18,11,7,16,20,7,6,9
14:32:21,26,13,5,119,53,2,5,15,17,11,6,16,20,7,6,8
14:32:51,27,13,5,129,54,2,6,15,17,12,6,16,19,7,6,8
14:33:22,26,13,5,136,54,2,6,15,18,12,7,16,20,7,6,8
14:33:50,26,13,5,141,53,2,6,15,17,11,6,16,20,7,6,8
14:34:21,23,10,4,147,52,1,4,12,14,8,4,13,16,5,4,6
14:34:51,27,13,5,154,54,2,6,15,17,11,7,16,20,7,6,8
14:35:22,27,13,5,157,54,2,6,15,18,11,6,16,20,7,6,8
14:35:50,27,13,5,160,53,2,6,15,18,11,6,16,20,7,6,9
14:36:21,25,13,5,163,53,2,6,15,17,11,7,16,20,7,6,8
14:36:51,25,13,5,165,53,2,6,15,17,11,6,16,20,7,6,8
14:37:22,27,13,5,168,53,2,6,15,17,11,6,17,20,7,6,8
14:37:50,27,13,5,169,53,2,6,15,17,11,6,16,20,7,6,9
14:38:21,27,13,5,172,53,2,5,15,17,11,6,16,20,7,6,9
14:38:51,27,13,5,174,53,2,6,15,17,11,6,17,20,7,6,8
14:39:22,27,13,5,176,54,2,6,15,17,11,7,16,20,7,6,9
14:39:50,26,13,5,176,53,2,6,15,17,11,7,16,20,7,6,8
14:40:21,27,13,5,178,53,2,6,15,18,11,6,16,20,7,6,9
14:40:51,26,13,5,178,53,2,6,15,17,11,7,16,20,7,6,8
14:41:22,26,13,5,180,53,2,6,15,17,11,6,17,20,7,6,8
14:41:50,26,13,5,180,53,2,6,15,18,11,6,16,20,7,6,8
14:42:21,26,13,5,182,53,2,6,15,17,11,6,17,20,7,6,8
14:42:51,23,10,4,183,52,1,4,12,14,8,4,13,16,5,4,6
14:43:22,27,13,5,184,53,2,6,15,18,11,7,16,20,7,6,8
14:43:50,26,12,5,184,53,2,6,15,17,11,7,16,20,7,6,8
14:44:21,27,13,5,185,53,2,6,15,17,11,6,16,20,7,6,8
14:44:51,26,13,5,185,53,2,6,14,17,11,7,17,20,7,6,8
14:45:20,27,13,5,187,53,2,6,15,17,11,6,16,20,7,6,8
14:45:50,27,13,6,188,54,2,6,15,17,12,7,17,20,7,6,9
14:46:21,26,13,5,188,53,2,6,14,17,11,6,16,19,7,6,8
14:46:51,26,13,5,188,54,2,6,14,17,11,7,16,20,7,6,8
14:47:20,26,13,5,189,53,2,6,14,17,11,7,16,20,7,6,8
14:47:50,27,13,5,190,52,2,6,15,18,12,7,17,20,7,6,8
14:48:21,26,13,5,190,53,2,6,15,17,11,7,16,20,7,6,8
14:48:51,26,13,5,190,53,2,6,15,17,11,7,17,20,7,6,8
14:49:20,27,13,5,191,53,2,6,15,17,11,6,16,20,7,6,9
14:49:50,26,13,5,191,52,2,6,15,17,11,7,17,20,7,6,8
14:50:21,27,13,5,192,53,2,6,15,17,11,7,16,20,7,6,8
14:50:52,26,13,5,192,52,2,5,15,17,11,7,17,20,7,6,8
14:51:20,27,13,5,193,53,3,6,15,18,11,7,16,20,8,6,8
14:51:51,26,13,5,192,53,2,6,15,17,11,7,17,20,8,6,8
14:52:21,26,13,5,194,53,2,5,15,17,12,7,17,19,7,6,8
14:52:52,26,13,5,194,52,2,6,15,17,11,7,16,20,7,6,8
14:53:20,27,13,5,195,53,2,6,15,17,11,7,16,20,7,6,9
14:53:51,26,13,5,194,53,2,6,15,17,11,7,17,20,7,6,8
14:54:21,26,13,5,194,53,2,5,15,17,11,7,16,20,7,6,8
14:54:52,27,13,6,196,53,2,6,15,18,12,7,16,20,7,6,9
14:55:20,27,13,6,197,54,2,6,15,18,11,7,16,20,7,6,9
14:55:51,27,13,6,197,53,2,6,15,17,11,7,17,20,7,6,8
14:56:21,26,13,5,195,52,2,6,15,17,11,7,17,20,7,6,8
14:56:52,26,13,5,195,53,2,6,14,17,11,7,16,20,7,6,8
14:57:20,27,13,5,196,52,2,6,14,17,11,7,17,20,7,6,8
14:57:51,27,13,5,197,53,2,6,15,17,11,7,17,20,7,6,8
14:58:21,27,13,5,197,52,2,6,15,18,12,7,16,20,7,6,8
14:58:52,26,13,5,196,52,2,6,15,17,11,6,16,20,7,6,8
14:59:20,26,13,5,196,52,2,5,14,17,11,7,16,20,7,6,8
14:59:51,25,12,5,197,53,2,6,15,17,11,7,16,20,7,6,8
