time,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
11:38:06,29,15,5,48,50,7,11,23,23,12,7,15,18,7,11,18
11:38:36,29,15,5,49,52,7,11,23,23,12,7,15,17,7,11,18
11:39:07,29,15,5,50,53,7,11,23,23,12,7,15,17,7,12,18
11:39:35,29,15,5,50,53,7,11,23,23,13,7,15,18,7,12,18
11:40:06,30,16,5,49,51,7,11,24,24,13,7,15,17,7,11,18
11:40:36,25,13,3,46,49,5,9,20,20,9,5,12,14,5,9,15
11:41:07,29,15,5,48,51,7,11,23,23,12,7,15,18,7,11,17
11:41:35,29,15,5,49,51,7,11,24,23,12,7,15,18,7,11,18
11:42:06,28,15,5,49,51,7,11,23,23,12,7,15,17,7,12,18
11:42:36,30,15,5,49,51,7,11,24,24,12,7,15,18,7,12,18
11:43:07,30,16,5,49,51,7,12,24,24,13,7,15,17,7,12,18
11:43:35,29,15,5,49,51,7,11,23,23,12,7,15,17,7,11,18
11:44:06,30,16,5,49,51,7,12,24,24,13,7,15,17,7,11,18
11:44:36,29,15,5,49,51,7,11,24,23,12,7,15,18,7,11,17
11:45:07,29,15,5,49,51,7,11,24,23,12,7,15,17,7,11,18
11:45:35,30,15,5,49,51,7,11,24,24,12,7,15,18,7,12,17
11:46:06,29,15,5,50,50,7,11,23,23,12,7,15,17,7,12,18
11:46:36,30,16,5,50,51,7,11,24,24,13,7,15,18,7,12,18
11:47:07,29,15,5,51,50,7,11,24,23,12,7,15,18,7,11,18
11:47:35,30,16,5,52,51,7,11,24,24,13,7,15,17,7,11,18
11:48:06,29,16,5,53,50,7,11,24,23,13,7,15,18,7,11,17
11:48:36,29,15,5,55,50,7,11,23,23,12,7,15,17,7,12,18
11:49:07,29,16,5,57,50,7,11,24,24,12,7,15,17,7,11,18
11:49:35,29,15,5,60,50,7,11,24,23,12,7,15,17,7,11,18
11:50:06,30,16,5,64,50,7,12,24,24,13,7,15,17,7,11,18
11:50:36,29,15,5,68,50,7,11,24,23,12,7,15,17,7,11,18
11:51:07,29,15,5,74,51,7,11,23,23,12,7,15,18,7,12,18
11:51:35,29,15,5,81,50,7,11,24,23,12,7,15,17,7,11,18
11:52:06,29,15,5,89,50,7,11,24,23,12,7,15,17,7,12,18
11:52:36,29,15,5,98,51,7,11,24,23,12,7,15,17,7,12,18
11:53:07,30,16,5,108,51,7,11,24,24,13,7,15,17,7,11,18
11:53:35,29,15,5,116,50,7,11,24,24,13,7,15,17,7,12,17
11:54:05,31,15,5,125,51,7,11,24,24,13,7,16,18,7,11,18
11:54:36,29,15,5,132,50,7,11,23,23,13,7,15,18,7,11,17
11:55:07,30,16,5,141,51,7,11,24,24,13,7,15,18,7,11,18
11:55:35,29,15,5,145,50,7,11,24,23,12,8,15,18,7,11,18
11:56:05,29,15,5,150,50,7,11,24,23,12,7,15,18,7,11,17
11:56:36,29,15,5,155,50,7,11,24,24,12,8,15,18,7,11,17
11:57:06,30,16,5,159,51,7,11,24,24,13,7,15,18,7,12,18
11:57:37,29,15,5,161,51,7,11,24,23,13,7,16,17,7,11,18
