time,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
13:28:25,30,15,5,44,48,7,11,24,24,12,7,15,17,7,12,18
13:28:56,29,15,5,45,48,7,11,24,23,12,7,15,17,7,12,18
13:29:24,30,16,5,46,49,7,11,24,24,12,7,15,17,7,12,18
13:29:55,30,16,5,47,50,8,12,24,24,12,7,15,17,7,12,18
13:30:25,30,15,5,48,51,8,12,24,24,12,7,15,17,7,11,18
13:30:56,29,15,5,46,49,7,12,24,24,13,7,15,17,7,12,18
13:31:24,29,15,5,47,49,7,11,24,23,12,7,15,17,7,12,18
13:31:55,29,15,5,46,49,7,11,23,23,12,7,15,17,7,11,18
13:32:25,29,15,5,46,49,7,11,23,23,12,7,15,17,7,11,18
13:32:56,29,16,5,46,49,7,12,24,23,12,7,15,17,7,11,18
13:33:24,29,15,5,46,49,7,11,23,24,12,7,15,17,7,12,18
13:33:55,29,15,5,46,49,7,11,24,23,12,7,15,17,7,11,18
13:34:25,29,15,5,46,49,7,11,23,23,12,7,15,17,7,11,17
13:34:56,29,16,5,46,48,7,11,24,23,12,7,15,17,7,12,18
13:35:24,29,16,5,47,49,7,12,23,23,12,7,15,17,7,11,18
13:35:55,30,16,5,47,49,7,11,24,24,12,7,15,17,7,12,18
13:36:25,30,16,5,47,49,7,12,24,24,12,7,15,17,7,12,18
13:36:56,27,13,4,46,47,6,9,21,21,10,5,12,14,5,9,15
13:37:24,29,15,5,48,48,7,11,24,23,12,7,15,17,7,11,18
13:37:55,29,15,5,49,49,7,11,24,23,12,7,15,17,7,11,18
13:38:25,29,16,5,50,48,7,11,24,23,12,7,15,17,7,11,18
13:38:56,30,15,5,52,48,7,12,24,24,12,7,15,17,7,11,18
13:39:24,30,16,5,54,48,7,12,24,24,12,7,15,17,7,11,18
13:39:55,29,15,5,56,48,7,12,23,23,13,7,15,17,7,11,18
13:40:25,29,15,5,60,48,7,12,24,23,12,7,15,17,7,11,18
13:40:56,30,16,5,65,49,7,11,24,24,13,7,15,17,7,11,18
13:41:24,29,15,5,70,48,7,12,24,23,12,7,15,17,7,12,18
13:41:55,30,16,5,78,48,7,12,24,24,13,7,15,17,7,11,18
13:42:25,26,13,4,86,46,6,9,21,20,9,5,12,14,4,9,15
13:42:56,29,15,5,95,48,7,11,24,23,12,7,15,17,7,11,18
13:43:24,30,15,5,105,49,7,11,24,24,13,7,15,17,7,11,18
13:43:55,29,15,5,115,48,7,12,24,24,12,7,16,17,7,11,18
13:44:25,29,15,5,124,48,7,11,24,24,12,7,15,17,7,11,18
13:44:56,29,15,5,132,49,7,11,24,23,13,7,15,18,7,11,18
13:45:24,29,15,5,139,49,7,12,24,24,12,7,15,17,7,12,18
13:45:55,30,16,5,145,49,7,12,24,25,13,7,15,17,7,12,18
13:46:25,29,15,5,150,49,7,11,24,23,12,7,15,17,7,11,18
13:46:56,29,15,5,154,49,7,12,24,23,13,7,15,17,7,11,18
13:47:24,30,15,5,159,49,7,12,24,24,12,7,15,17,7,12,18
13:47:55,29,15,5,160,49,7,11,24,23,12,7,15,18,7,11,18
