,index,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16
0,1,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,
2,3,,,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,,,
4,5,-0.002615193,-0.005057618,-0.001062574,-0.001306818,-0.000881543,-0.008677686,-0.001298701,0.00137931,-0.004081633,6.40E-05,-0.001856594,0.010017371,0.006535948,-0.00518648,0.002374491,-0.013636364
5,6,0.002864259,0.000576184,0.00283353,0.001193182,0.003966942,-0.003482881,0.001558442,0.005517241,0.001360544,0.004289373,0.002368758,0.011291257,0.007843137,-0.001340326,0.005359566,-0.008441558
6,7,-0.00124533,-0.000832266,0.000236128,0.001193182,0.003966942,-0.004781582,0.004415584,0.002758621,-0.001360544,0.001472471,-0.000448143,0.006195715,0.003921569,-0.003904429,0.000881954,-0.008441558
7,8,-0.005354919,-0.000832266,0.001534829,-5.68E-05,0.006391185,-0.002184179,0.005844156,0.002758621,-0.004081633,0.001472471,-0.000448143,0.0074696,0.002614379,-0.001340326,0.002374491,-0.008441558
8,9,-0.009464508,-0.003649168,0.000236128,-0.001306818,0.005179063,0.000413223,0.004415584,0.002758621,-0.008163265,-0.00134443,-0.001856594,0.0074696,0.00130719,-0.002622378,0.000881954,-0.011038961
9,10,-0.009464508,-0.003649168,-0.001062574,-5.68E-05,0.007603306,0.004309327,0.00012987,0,-0.008163265,-0.00134443,-0.000448143,0.003647944,0.00130719,-0.001340326,0.000881954,-0.011038961
10,11,-0.010834371,-0.003649168,-0.002361275,0.001193182,0.006391185,0.004309327,0.00012987,0,-0.008163265,-0.00134443,-0.001856594,0.006195715,0,-0.001340326,0.002374491,-0.00974026
11,12,-0.006724782,-0.002240717,0.000236128,0.001193182,0.006391185,0.005608028,-0.001298701,0.00137931,-0.005442177,0.001472471,-0.000448143,0.006195715,0.00130719,-0.001340326,0.005359566,-0.007142857
12,13,-0.008094645,-0.005057618,-0.003659976,-0.001306818,0.005179063,0.004309327,-0.004155844,-0.00137931,-0.006802721,-0.00134443,-0.001856594,0.002374059,-0.00130719,-0.002622378,0.003867028,-0.008441558
13,14,-0.006724782,-0.003649168,-0.001062574,-0.001306818,0.005179063,0.001711924,-0.002727273,-0.004137931,-0.005442177,-0.00134443,-0.001856594,0.001100174,-0.002614379,-0.001340326,0.003867028,-0.008441558
14,15,-0.005354919,-0.002240717,0.000236128,-0.002556818,0.002754821,-0.002184179,-0.002727273,-0.004137931,-0.004081633,-0.00134443,-0.001856594,0.001100174,-0.002614379,-0.001340326,0.002374491,-0.007142857
15,16,-0.002615193,-0.002240717,0.00283353,-0.002556818,0.0015427,-0.002184179,-0.002727273,-0.004137931,-0.004081633,-0.002752881,-0.003265045,-0.001447597,0,-0.001340326,0.000881954,-0.004545455
16,17,-0.006724782,-0.003649168,0.000236128,-0.002556818,-0.000881543,-0.003482881,-0.004155844,-0.005517241,-0.005442177,-0.004161332,-0.003265045,-0.002721482,0,-0.001340326,0.000881954,-0.003246753
17,18,-0.00124533,0.000576184,0.00283353,-0.001306818,-0.003305785,-0.003482881,-0.002727273,-0.002758621,0,-0.00134443,-0.003265045,-0.002721482,0,-0.002622378,-0.000610583,0.001948052
18,19,-0.00124533,-0.000832266,0.000236128,-5.68E-05,-0.004517906,-0.003482881,-0.004155844,-0.00137931,0,-0.00134443,-0.001856594,-0.003995368,0.00130719,-0.003904429,-0.000610583,0.004545455
19,20,-0.00124533,-0.000832266,0.000236128,0.001193182,-0.002093664,-0.000885478,-0.002727273,-0.00137931,-0.001360544,-0.002752881,0.000960307,-0.002721482,0.003921569,-0.001340326,0.002374491,0.007142857
20,21,-0.00124533,-0.000832266,-0.001062574,-5.68E-05,-0.002093664,-0.000885478,-0.002727273,-0.00137931,0,-0.00134443,0.002368758,-0.002721482,0.002614379,-0.001340326,0.000881954,0.005844156
21,22,0.002864259,0.001984635,-0.001062574,-0.001306818,-0.002093664,-0.000885478,-0.001298701,0,0.002721088,6.40E-05,0.003777209,-0.002721482,0.00130719,-0.001340326,-0.002103121,0.005844156
22,23,0.001494396,0.000576184,-0.001062574,0.001193182,-0.003305785,-0.002184179,-0.001298701,-0.00137931,0.001360544,-0.00134443,0.005185659,-0.002721482,0.00130719,-0.002622378,-0.003595658,0.003246753
23,24,0.004234122,0.003393086,0.000236128,0.002443182,-0.003305785,-0.000885478,0.00012987,-0.00137931,0.004081633,6.40E-05,0.003777209,-0.001447597,0.00130719,-0.001340326,-0.003595658,0.001948052
24,25,0.005603985,0.004801536,0.001534829,0.004943182,-0.002093664,0.001711924,0.001558442,0.00137931,0.006802721,0.002880922,0.003777209,-0.000173712,0.00130719,0.001223776,-0.003595658,0.001948052
25,26,0.005603985,0.004801536,0.000236128,0.004943182,-0.002093664,0.001711924,0.002987013,0.00137931,0.006802721,0.002880922,0.002368758,-0.000173712,1.73E-19,0.002505828,-0.003595658,0.001948052
26,27,0.004234122,0.001984635,-0.001062574,0.004943182,-0.003305785,0.000413223,0.002987013,0.00137931,0.004081633,0.001472471,0.000960307,-0.000173712,1.73E-19,0.002505828,-0.005088195,0.000649351
27,28,0.005603985,0.003393086,0.001534829,0.004943182,0.0015427,0.004309327,0.007272727,0.005517241,0.005442177,0.004289373,0.002368758,0.00492183,0.002614379,0.007634033,-0.000610583,0.003246753
28,29,0.006973848,0.003393086,0.00283353,0.001193182,0.002754821,0.003010626,0.008701299,0.005517241,0.005442177,0.004289373,0.002368758,0.00492183,0.00130719,0.007634033,0.000881954,0.004545455
29,30,0.004234122,0.000576184,0.000236128,-0.003806818,0.000330579,-0.002184179,0.005844156,0.002758621,0.001360544,0.001472471,-0.001856594,0.001100174,-0.002614379,0.003787879,-0.000610583,0.001948052
30,31,0.004234122,0.000576184,0.000236128,-0.005056818,0.000330579,-0.002184179,0.005844156,0.002758621,0.001360544,0.001472471,-0.001856594,0.001100174,-0.002614379,0.003787879,-0.002103121,0.001948052
31,32,0.005603985,0.003393086,0.001534829,-0.005056818,0.0015427,-0.002184179,0.005844156,0.004137931,0.004081633,0.002880922,-0.000448143,0.001100174,-0.002614379,0.00506993,-0.000610583,0.003246753
32,33,0.002864259,0.001984635,-0.002361275,-0.007556818,-0.002093664,-0.006080283,0.001558442,0.00137931,0.001360544,0.002880922,-0.001856594,-0.003995368,-0.006535948,0.001223776,-0.002103121,0.000649351
33,34,0.002864259,0.003393086,-0.003659976,-0.006306818,-0.002093664,-0.006080283,0.001558442,0.002758621,0.001360544,0.004289373,-0.000448143,-0.003995368,-0.005228758,0.001223776,-0.002103121,0.003246753
34,35,0.002864259,0.003393086,-0.004958678,-0.005056818,-0.002093664,-0.006080283,0.002987013,0.00137931,0.001360544,0.005697823,-0.000448143,-0.003995368,-0.005228758,-5.83E-05,-0.003595658,0.003246753
35,36,0.001494396,0.001984635,-0.006257379,-0.005056818,-0.002093664,-0.007378985,0.001558442,0.00137931,0,0.004289373,-0.000448143,-0.005269253,-0.005228758,-0.001340326,-0.002103121,0.001948052
36,37,0.001494396,0.001984635,-0.006257379,-0.002556818,-0.000881543,-0.006080283,0.005844156,0,-0.001360544,0.002880922,-0.001856594,-0.003995368,-0.003921569,-0.001340326,-0.000610583,0.001948052
37,38,0.002864259,0.001984635,-0.004958678,-0.003806818,-0.002093664,-0.006080283,0.005844156,0.004137931,0,-0.00134443,-0.003265045,-0.005269253,-0.002614379,-0.001340326,-0.002103121,0.001948052
